arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,bimodal_quad,?,networks_bimodal_quad,33,32,4,heft,8.691,32.454,0,0.001,,,0,0,0,
s10port,bimodal_quad,?,networks_bimodal_quad,33,32,4,heft_edf,8.691,32.454,0,0.003,,,0,0,0,
s10port,bimodal_quad,?,networks_bimodal_quad,33,32,4,pso,8.691,32.454,0,0.15,,,0,0,0,
s10port,bimodal_quad,?,networks_bimodal_quad,33,32,4,sa,8.691,32.454,0,0.363,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,best-of-fast,3.997,26.334,0,0.003,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,cpsat,3.887,26.54,0,0.317,OPTIMAL,0.0,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,cpsat:warm,3.887,26.334,0,0.318,OPTIMAL,0.0,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,cpsat:warmbest,3.887,26.334,0,0.304,OPTIMAL,0.0,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,decomposed,16.457,26.334,0,0.0,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,greedy,16.457,26.334,0,0.0,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,greedy_periodic,3.997,26.334,0,0.0,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,greedy_reserved,3.997,26.54,0,0.0,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,heft,3.887,26.334,1,0.001,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,heft_edf,3.997,26.334,0,0.002,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,pso,3.887,26.334,0,0.028,,,0,0,0,
s10port,control_mix,cg,networks_control_mix_cg,13,12,2,sa,3.887,26.334,0,0.089,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,best-of-fast,3.46,22.624,0,0.002,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,cpsat,3.46,22.624,0,0.298,OPTIMAL,0.0,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,cpsat:warm,3.46,22.624,0,0.305,OPTIMAL,0.0,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,cpsat:warmbest,3.46,22.624,0,0.29,OPTIMAL,0.0,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,decomposed,4.298,22.624,0,0.0,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,greedy,4.298,22.624,0,0.0,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,greedy_periodic,3.46,22.624,0,0.0,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,greedy_reserved,3.46,23.238,0,0.0,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,heft,3.46,22.624,0,0.001,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,heft_edf,3.46,22.624,0,0.001,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,pso,3.46,22.624,0,0.028,,,0,0,0,
s10port,control_mix,dc,networks_control_mix_dc,13,12,2,sa,3.46,22.624,0,0.124,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,best-of-fast,7.927,42.652,0,0.003,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,cpsat,7.927,42.652,0,0.316,OPTIMAL,0.0,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,cpsat:warm,7.927,42.652,0,0.297,OPTIMAL,0.0,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,cpsat:warmbest,7.927,42.652,0,0.307,OPTIMAL,0.0,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,decomposed,10.714,42.652,0,0.0,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,greedy,7.927,42.652,0,0.0,,,0,0,0,
