dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block$dispatch_0_rvv_x60_layernorm_s8_M128xK256,,,0.989917,ms,989916.666667,0,,k1,layernorm_s8,M=128;K=256,23758,1,,curated[rvv]/rvv_f64_tail
1,ffn_block$dispatch_1_rvv_x60_linear_s8_M128xK256xN1024,,,15.033458,ms,15033458.333333,0,,k1,linear_s8,M=128;K=256;N=1024,360803,1,,curated[rvv]/direct
2,ffn_block$dispatch_2_rvv_x60_gelu_s8_n131072,,,0.637375,ms,637375.000000,0,,k1,gelu_s8,n=131072,15297,1,,curated[rvv]/rvv_memo_lut_gather
3,ffn_block$dispatch_3_rvv_x60_linear_s8_M128xK1024xN256,,,11.662375,ms,11662375.000000,0,,k1,linear_s8,M=128;K=1024;N=256,279897,1,,curated[rvv]/direct
4,ffn_block$dispatch_4_rvv_x60_add_s8_n32768,,,0.229458,ms,229458.333333,0,,k1,add_s8,n=32768,5507,1,,curated[rvv]/rvv_frm_rmm
