seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome
1000,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1463,4,success
1001,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1251,4,crash
1002,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1523,4,crash
1003,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1491,4,success
1004,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1173,4,crash
1005,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1427,4,success
1006,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1510,4,success
1007,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,2,1564,4,crash
1008,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1800,4,timeout
1009,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,1,431,4,crash
1010,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1469,4,success
1011,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1122,4,crash
1012,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1069,4,crash
1013,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1515,4,crash
1014,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,3,1571,4,crash
1015,1.0,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1402,4,success
1000,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,348,4,crash
1001,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,2,823,4,crash
1002,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1421,4,success
1003,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,648,4,crash
1004,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1476,4,success
1005,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,2,1728,4,crash
1006,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,3,1419,4,crash
1007,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,3,1650,4,crash
1008,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1360,4,success
1009,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1420,4,success
1010,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,0,1800,4,timeout
1011,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1425,4,success
1012,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1372,4,success
1013,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1358,4,success
1014,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1461,4,success
1015,1.0,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,557,4,crash
