dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block_bA$dispatch_0_rvv_x60_layernorm_s8_M128xK256,,,0.998083,ms,998083.333333,0,,k1,layernorm_s8,M=128;K=256,23954,1,,curated[rvv]/rvv_f64_tail
1,ffn_block_bA$dispatch_1_rvv_x60_linear_s8_M128xK256xN1024,,,15.017167,ms,15017166.666667,0,,k1,linear_s8,M=128;K=256;N=1024,360412,1,,curated[rvv]/direct
2,ffn_block_bA$dispatch_2_rvv_x60_gelu_s8_n131072,,,0.679667,ms,679666.666667,0,,k1,gelu_s8,n=131072,16312,1,,curated[rvv]/rvv_memo_lut_gather
3,ffn_block_bA$dispatch_3_rvv_x60_linear_s8_M128xK1024xN256,,,11.647208,ms,11647208.333333,0,,k1,linear_s8,M=128;K=1024;N=256,279533,1,,curated[rvv]/direct
4,ffn_block_bA$dispatch_4_rvv_x60_add_s8_n32768,,,0.211625,ms,211625.000000,0,,k1,add_s8,n=32768,5079,1,,curated[rvv]/rvv_frm_rmm
