g110_450	389.8	110.0	447.3
g120_400	381.1	120.0	397.7
g120_450	387.4	120.0	442.3
g130_400	356.3	130.0	399.6
g130_450	395.6	130.0	445.4
g140_290	283.7	140.0	286.7
g140_305	297.6	140.0	303.2
g140_320	312.4	140.0	318.7
g140_350	339.2	140.0	346.0
g140_450	391.6	140.0	424.5
g140_400	328.3	140.9	386.7
g150_290	281.3	150.0	289.9
g150_305	303.1	150.0	304.9
g150_320	312.4	150.0	319.3
g150_450	317.6	150.0	421.2
g150_350	319.0	150.0	346.4
g165_290	277.6	165.0	289.7
g165_305	297.1	165.0	304.7
g165_400	311.0	165.0	376.0
g165_320	312.9	165.0	319.7
g165_350	326.3	165.0	349.8
g165_450	327.2	165.0	393.4
g165_275	270.3	165.2	270.3
g180_275	269.6	180.0	273.7
g180_290	282.3	180.0	289.6
g180_305	292.6	180.0	304.7
g180_350	294.7	180.0	334.7
g180_320	303.1	180.0	319.7
g180_400	352.6	180.0	399.4
g180_450	357.7	182.3	439.8
g200_260	246.0	200.0	257.9
g200_400	257.9	200.0	398.8
g200_275	264.8	200.0	273.7
g200_290	269.0	200.0	289.7
g200_320	280.7	200.0	308.0
g200_450	369.2	200.0	449.3
g220_260	232.7	220.0	232.7
g250_260	232.7	250.0	232.7
g283_260	232.7	283.0	232.7
g130_275	271.4	131.1	274.6
g130_290	286.0	130.2	289.6
g130_305	297.3	130.0	303.0
g130_320	315.1	130.0	317.9
g130_350	339.4	130.0	349.8
