dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block_r1shard$dispatch_0_rvv_x60_layernorm_s8_M128xK256,,,0.943458,ms,943458.333333,0,,k1,layernorm_s8,M=128;K=256,22643,1,,curated[rvv]/rvv_f64_tail
1,ffn_block_r1shard$dispatch_1_rvv_x60_linear_s8_M128xK256xN1024,,,15.953125,ms,15953125.000000,0,,k1,linear_s8,M=128;K=256;N=1024,382875,1,,curated[rvv]/direct
2,ffn_block_r1shard$dispatch_2_rvv_x60_gelu_s8_n131072,,,0.637292,ms,637291.666667,0,,k1,gelu_s8,n=131072,15295,1,,curated[rvv]/rvv_memo_lut_gather
3,ffn_block_r1shard$dispatch_3_rvv_x60_linear_s8_M128xK1024xN256,,,12.296125,ms,12296125.000000,0,,k1,linear_s8,M=128;K=1024;N=256,295107,1,,curated[rvv]/direct
4,ffn_block_r1shard$dispatch_4_rvv_x60_add_s8_n32768,,,0.209083,ms,209083.333333,0,,k1,add_s8,n=32768,5018,1,,curated[rvv]/rvv_frm_rmm
