seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,hold_steps,eff_cmd_hz,moment_scale,gates_passed,steps,K,outcome
1000,1.2,0.001,10,10.0,0.0,1,100.0,0.005,4,1204,4,success
1001,1.2,0.001,10,10.0,0.0,1,100.0,0.005,4,1174,4,success
