seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,hold_steps,eff_cmd_hz,moment_scale,gates_passed,steps,K,outcome
1000,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,28,4,timeout
1001,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,57,4,timeout
1002,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,24,4,timeout
1003,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,20,4,crash
1004,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,21,4,timeout
1005,1.4,0.001,40,40.0,0.0,1,25.0,0.02,0,23,4,timeout
1000,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1001,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1002,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1003,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1004,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1005,1.4,0.001,30,30.0,0.0,1,33.33,0.01502,0,164,4,crash
1000,1.4,0.001,20,20.0,0.0,1,50.0,0.01,2,368,4,crash
1001,1.4,0.001,20,20.0,0.0,1,50.0,0.01,1,261,4,crash
1002,1.4,0.001,20,20.0,0.0,1,50.0,0.01,3,562,4,crash
1003,1.4,0.001,20,20.0,0.0,1,50.0,0.01,2,445,4,crash
1004,1.4,0.001,20,20.0,0.0,1,50.0,0.01,2,367,4,crash
1005,1.4,0.001,20,20.0,0.0,1,50.0,0.01,2,297,4,crash
1000,1.4,0.001,12,12.0,0.0,1,83.33,0.006,4,890,4,success
1001,1.4,0.001,12,12.0,0.0,1,83.33,0.006,2,427,4,crash
1002,1.4,0.001,12,12.0,0.0,1,83.33,0.006,1,289,4,crash
1003,1.4,0.001,12,12.0,0.0,1,83.33,0.006,0,145,4,crash
1004,1.4,0.001,12,12.0,0.0,1,83.33,0.006,1,441,4,crash
1005,1.4,0.001,12,12.0,0.0,1,83.33,0.006,1,823,4,crash
1000,1.4,0.001,10,10.0,0.0,1,100.0,0.005,4,1039,4,success
1001,1.4,0.001,10,10.0,0.0,1,100.0,0.005,4,1018,4,success
1002,1.4,0.001,10,10.0,0.0,1,100.0,0.005,4,1032,4,success
1003,1.4,0.001,10,10.0,0.0,1,100.0,0.005,4,1055,4,success
1004,1.4,0.001,10,10.0,0.0,1,100.0,0.005,2,707,4,crash
1005,1.4,0.001,10,10.0,0.0,1,100.0,0.005,1,402,4,crash
1000,1.4,0.001,8,8.0,0.0,1,125.0,0.004,4,1334,4,success
1001,1.4,0.001,8,8.0,0.0,1,125.0,0.004,2,665,4,crash
1002,1.4,0.001,8,8.0,0.0,1,125.0,0.004,4,1291,4,success
1003,1.4,0.001,8,8.0,0.0,1,125.0,0.004,2,875,4,crash
1004,1.4,0.001,8,8.0,0.0,1,125.0,0.004,1,583,4,crash
1005,1.4,0.001,8,8.0,0.0,1,125.0,0.004,2,1243,4,crash
1000,1.4,0.001,6,6.0,0.0,1,166.67,0.003,2,1041,4,crash
1001,1.4,0.001,6,6.0,0.0,1,166.67,0.003,3,1967,4,crash
1002,1.4,0.001,6,6.0,0.0,1,166.67,0.003,1,751,4,crash
1003,1.4,0.001,6,6.0,0.0,1,166.67,0.003,2,1188,4,crash
1004,1.4,0.001,6,6.0,0.0,1,166.67,0.003,4,1764,4,success
1005,1.4,0.001,6,6.0,0.0,1,166.67,0.003,1,1572,4,crash
1000,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,2,1305,4,crash
1001,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,2,1030,4,crash
1002,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,4,2072,4,success
1003,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,4,2114,4,success
1004,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,1,865,4,crash
1005,1.4,0.001,5,5.0,0.0,1,200.0,0.0025,1,2856,4,timeout
