flight,steps,dur_s,brate_mean,brate_peak,accel_mean,jerk_mean,spec_thrust_mean,spec_power_mean
complete,1018,10.17,0.3497302234172821,9.955567359924316,0.5670167268495524,4.835477478512973,9.869406304228889,31.239767046872622
crash,905,9.040000000000001,3.668973684310913,9.700828552246094,1.5306928293990467,101.84084233870803,9.929527979735855,31.556568143239463
new_ros50,903,9.02,3.6686627864837646,9.701109886169434,1.5272343176737473,102.061395483009,9.922907981320261,31.52471753252797
new_ros,156,1.55,20.94736671447754,51.14990997314453,10.484527804872954,393.29882260742266,13.038704869774461,51.72472492707817
new_xpu,1018,10.17,0.35313135385513306,9.903043746948242,0.565956583617317,4.925304603135364,9.869636900884874,31.239039598974102
s1004_ros,1194,11.93,3.7125601768493652,14.767512321472168,1.5308357274110764,105.99155554421802,9.927320606016286,31.515021454963723
s1004_xpu,658,6.57,0.4609539210796356,10.107597351074219,0.77581500904916,7.114443449134433,9.889799014167112,31.4891556062881
