dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,ffn_block_splitM2$dispatch_0_rvv_x60_layernorm_s8_M128xK256,,,0.922375,ms,922375.000000,0,,k1,layernorm_s8,M=128;K=256,22137,1,,curated[rvv]/rvv_f64_tail
1,ffn_block_splitM2$dispatch_1_rvv_x60_linear_s8_M64xK256xN1024,,,7.517833,ms,7517833.333333,0,,k1,linear_s8,M=64;K=256;N=1024,180428,1,,curated[rvv]/direct
2,ffn_block_splitM2$dispatch_2_rvv_x60_linear_s8_M64xK256xN1024,,,6.844833,ms,6844833.333333,0,,k1,linear_s8,M=64;K=256;N=1024,164276,1,,curated[rvv]/direct
3,ffn_block_splitM2$dispatch_3_rvv_x60_gelu_s8_n131072,,,0.651333,ms,651333.333333,0,,k1,gelu_s8,n=131072,15632,1,,curated[rvv]/rvv_memo_lut_gather
4,ffn_block_splitM2$dispatch_4_rvv_x60_linear_s8_M128xK1024xN256,,,11.040250,ms,11040250.000000,0,,k1,linear_s8,M=128;K=1024;N=256,264966,1,,curated[rvv]/direct
5,ffn_block_splitM2$dispatch_5_rvv_x60_add_s8_n32768,,,0.240625,ms,240625.000000,0,,k1,add_s8,n=32768,5775,1,,curated[rvv]/rvv_frm_rmm
